[0.004s][warning][gc] -XX:+PrintGCDetails is deprecated. Will use -Xlog:gc* instead.
[0.022s][info   ][gc] Using Parallel
[7.275s][info   ][gc] GC(0) Pause Young (Allocation Failure) 56M->36M(245M) 66.992ms
[28.370s][info   ][gc] GC(1) Pause Young (Allocation Failure) 97M->79M(245M) 63.538ms
[35.575s][info   ][gc] GC(2) Pause Young (Allocation Failure) 143M->133M(245M) 74.564ms
[35.998s][debug  ][gc] GC(3) Expanding ParOldGen from 175104K by 116224K to 291328K
[35.998s][info   ][gc] GC(3) Pause Full (Ergonomics) 133M->117M(359M) 422.371ms
[49.534s][info   ][gc] GC(4) Pause Young (Allocation Failure) 181M->175M(359M) 115.686ms
[77.911s][info   ][gc] GC(5) Pause Young (Allocation Failure) 292M->288M(314M) 288.712ms
[78.774s][debug  ][gc] GC(6) Expanding ParOldGen from 291328K by 191488K to 482816K
[78.782s][info   ][gc] GC(6) Pause Full (Ergonomics) 288M->229M(571M) 870.704ms
[85.928s][info   ][gc] GC(7) Pause Young (Allocation Failure) 248M->247M(573M) 134.220ms
[93.198s][info   ][gc] GC(8) Pause Young (Allocation Failure) 347M->346M(578M) 225.167ms
[107.571s][info   ][gc] GC(9) Pause Young (Allocation Failure) 367M->366M(586M) 357.736ms
[122.067s][info   ][gc] GC(10) Pause Young (Allocation Failure) 397M->396M(586M) 478.582ms
[136.743s][info   ][gc] GC(11) Pause Young (Allocation Failure) 427M->426M(591M) 658.467ms
[144.377s][info   ][gc] GC(12) Pause Young (Allocation Failure) 450M->450M(609M) 622.877ms
[144.378s][debug  ][gc] Expanding ParOldGen from 482816K by 121856K to 604672K
[158.847s][info   ][gc] GC(13) Pause Young (Allocation Failure) 593M->592M(738M) 394.498ms
[173.296s][info   ][gc] GC(14) Pause Young (Allocation Failure) 627M->626M(738M) 429.315ms
[175.462s][debug  ][gc] GC(15) Expanding ParOldGen from 604672K by 94720K to 699392K
[175.462s][info   ][gc] GC(15) Pause Full (Ergonomics) 626M->493M(842M) 2165.469ms
[196.766s][info   ][gc] GC(16) Pause Young (Allocation Failure) 542M->541M(843M) 270.181ms
[218.268s][info   ][gc] GC(17) Pause Young (Allocation Failure) 589M->588M(854M) 472.481ms
[225.595s][info   ][gc] GC(18) Pause Young (Allocation Failure) 598M->597M(857M) 320.991ms
[225.672s][info   ][gc] GC(19) Pause Young (Allocation Failure) 597M->597M(884M) 77.438ms
[227.861s][info   ][gc] GC(20) Pause Full (Allocation Failure) 597M->597M(886M) 2189.062ms
[227.862s][info   ][gc] GC(21) Pause Young (Allocation Failure) 597M->597M(910M) 1.022ms
[229.620s][info   ][gc] GC(22) Pause Full (Allocation Failure) 597M->596M(910M) 1757.965ms
