[0.004s][warning][gc] -XX:+PrintGCDetails is deprecated. Will use -Xlog:gc* instead.
[0.014s][info   ][gc] Using Serial
[7.494s][info   ][gc] GC(0) Pause Young (Allocation Failure) 63M->39M(247M) 60.477ms
[21.607s][info   ][gc] GC(1) Pause Young (Allocation Failure) 107M->85M(247M) 70.550ms
[42.738s][info   ][gc] GC(2) Pause Young (Allocation Failure) 150M->149M(247M) 97.508ms
[53.982s][info   ][gc] GC(4) Pause Full (Allocation Failure) 213M->174M(282M) 248.314ms
[53.983s][info   ][gc] GC(3) Pause Young (Allocation Failure) 217M->174M(421M) 331.333ms
[77.976s][info   ][gc] GC(5) Pause Young (Allocation Failure) 290M->275M(421M) 121.106ms
[92.497s][info   ][gc] GC(7) Pause Full (Allocation Failure) 317M->282M(433M) 371.661ms
[92.506s][info   ][gc] GC(6) Pause Young (Allocation Failure) 324M->282M(681M) 505.067ms
[141.868s][info   ][gc] GC(8) Pause Young (Allocation Failure) 470M->460M(681M) 249.468ms
[170.893s][info   ][gc] GC(10) Pause Full (Allocation Failure) 642M->510M(830M) 713.510ms
[170.893s][info   ][gc] GC(9) Pause Young (Allocation Failure) 648M->510M(989M) 939.012ms
[220.172s][info   ][gc] GC(11) Pause Young (Allocation Failure) 619M->612M(989M) 228.076ms
[256.531s][info   ][gc] GC(13) Pause Full (Allocation Failure) 885M->760M(989M) 1254.376ms
[256.531s][info   ][gc] GC(12) Pause Young (Allocation Failure) 885M->760M(989M) 1254.568ms
[327.928s][info   ][gc] GC(14) Pause Full (Allocation Failure) 919M->909M(989M) 1294.897ms
[329.431s][info   ][gc] GC(15) Pause Full (Allocation Failure) 909M->908M(989M) 1502.116ms
